name,ring,quadrant,isNew,description
D3,adopt,tools,TRUE,"<a href=""https://d3js.org/"">D3</a> has helped us substantially in developing live charts and summaries sourced directly from operational stores. It complements products like <strong>Tableau</strong> which serve the purpose of fully-fledged visualizations of Data Warehouse data. "
Git,adopt,tools,TRUE,"Git has been a prevalent SCM tool we apply for all our projects. We add it here just for a further reference."
GitHub,adopt,tools,TRUE,"We only quite recently entered OSS world with <a href=""https://github.com/pragmasoft-pl"">our organization account</a>. It is primarily used now as CMS for <a href=""https://github.com/pragmasoft-pl/pragmasoft-pl.github.io"">our company blog</a> and this radar."
GitLab,adopt,tools,TRUE,"<a href=""https://about.gitlab.com/"">GitLab</a> combines many pieces we utilize for software development on a daily basis. Be it backlog management, SCM, code reviews, CI/CD, monitoring, etc. - we do it all in a single tool and that boosts our productivity heavily."
Gulp,adopt,tools,TRUE,"It has been a while since <a href=""https://gulpjs.com/"">Gulp</a> is with us and helps us in many automation tasks. We put it here for reference."
SonarQube,adopt,tools,TRUE,"<a href=""https://www.sonarqube.org/"">Sonar</a> helps us control quality of software we produce. One cannot control something they do not measure. That is why we utilize various code metrics Sonar provides to harness tech debt that creeps in on a daily basis."
Dapper,trial,tools,TRUE,"When a .NET project does not expose complex domain or it is not quite CRUD, we prefer not to enter <strong>ORM</strong> world then. Our preference is then a micro-ORM <a href=""https://github.com/StackExchange/Dapper"">Dapper</a> is a solid example of. "
Hangfire,trial,tools,TRUE,"One of our .NET projects heavily leveraged <a href=""https://www.hangfire.io/"">Hangfire</a> for long-running scheduled background jobs. Ease of use and low amount of code we needed encouranged us to start considering it in other .NET projects."
PSake,trial,tools,TRUE,"Part of our automation in .NET projects are not focused on programming in XML and diverges towards <strong>PowerShell</strong> flavour. We see <a href=""https://github.com/psake/psake"">PSake</a> as a complimentary tool whenever there is lots of customization to scripting build of project artifacts."
Splunk,trial,tools,TRUE,"With the advent of cheap storage we prefer to store events (be it exceptions, event logs, domain events, etc.) that form the foundation for further problem root cause analysis. <a href=""https://www.splunk.com/"">Splunk</a> also supports well our technique of <strong>Algorithmic IT operations</strong> due to its powerful indexing, query and visualization capabilities."
Yarn,trial,tools,TRUE,"<a href=""https://yarnpkg.com"">Yarn</a> has started gradually replacing <strong>NPM</strong> in our dependency management automation (especially in front-end focused projects)."
Visual Studio Code,trial,tools,TRUE,"We started edit single files in <strong>Notepad++</strong> for big projects when Visual Studio choked. But we have been amazed how <a href=""https://code.visualstudio.com/"">VS Code</a> started gaining community support, rich set of extensions, speed and stability. For some of us it has been an editor of choice that replaced previous tools."
Swashbuckle (Swagger) for .NET Core,trial,tools,TRUE,"Adopting RESTful APIs and treating them as products requires proper contract exposure with documentation. <a href=""http://github.com/domaindrivendev/Swashbuckle.AspNetCore"">Swashbuckle for .NET Core</a> takes care of producing <strong>living API doc</strong> automatically leveraging API code. Testers admit <strong>Swagger</strong> helps a lot in API testing and exploration too."
Jekyll,assess,tools,TRUE,"When it comes to documentation - we love <strong>Markdown</strong> and keeping things as code in a Git repository. <a href=""https://jekyllrb.com/"">Jekyll</a> helps here a lot. Together with rich ecosystem of templates, one can easily setup their blog, as we did for <a href=""https://github.com/pragmasoft-pl/pragmasoft-pl.github.io"">our company blog</a>."
Roslyn,assess,tools,TRUE,"Since Microsoft reworked C#/VB compilers into a language compilation platform <a href=""https://github.com/dotnet/roslyn"">Roslyn</a>, we started leveraging its capabilities for company policy static code analysis. This has been a great companion for code reviews which saved us time and money."
Advanced analytics,adopt,techniques,TRUE,"Our AI/ML team has extended the company approach to enterprise analytics by incorporating deep learning techniques. Making good use of <strong>neural networks</strong>, a couple of Python libraries and <a href=""https://www.tensorflow.org/"">TensorFlow</a> led us to creation of models that increase revenue for our customers."
Automated build pipeline,adopt,techniques,TRUE,"This comes as a natural choice if you have your build automated with e.g. scripts. It then opens further benefits of CI/CD advantage. One needs to be careful though to avoid <strong>lots of programming in CI tool</strong> which is discouraged."
Automated database deployment,adopt,techniques,TRUE,"Database versioning and deployment play a vital part in fast and reliable delivery. Oftentimes DB schema needs to keep backward compatibility and only 'DB version up' semantics is automated (no downgrade available at hand). For more sophisticated scenarios we consider tools like <a href=""https://www.liquibase.org/"">LiquiBase</a>."
Automated deployment pipeline,adopt,techniques,TRUE,"Automated build does not mean automatic deployment. We strive to have 100% projects automatically deployed to test/staging environments, but things are not that easy with production systems. We gradually automate even production pipelines but artifacts handover still occurs."
Continuous Integration,adopt,techniques,TRUE,"We try to avoid long running feature branches, but even if we have one, we make sure it is sourced with its dependencies and master branch often. In particular, <a href=""https://www.jetbrains.com/teamcity/"">TeamCity</a> helps here a lot."
Decoupling deployment from release,adopt,techniques,TRUE,"Landing code in production does not necessarily mean it is open for wide use for every single user. Leveraging feature toggles, experimental features, pilots we can afford putting only a part of functionality and check if system is still healthy. "
Decoupling secret management from source code,adopt,techniques,TRUE,"Keeping secrets like passwords, api keys, sensitive authorization tokens in source code repository is not an option for any serious application. Thankfully, modern CI/CD/Cloud tools provide secure storages like <strong>GitLab secret variables</strong> or <a href=""https://aws.amazon.com/secrets-manager/"">AWS Secret Manager</a>."
Health check pages,adopt,techniques,TRUE,"With the shift for <strong>microservices</strong> we see the huge need for detailed status information announced by our live systems. This can help build and visualize infrastructure graphs which quickly show places requiring our attention. This is of vital importance each time we rollout new versions. "
Products over projects,adopt,techniques,TRUE,"Product oriented approach is what we love. Oftentimes software requirements are not detailed enough and then development team steps in. We try to understand current features adoption, what business problems users have and even change the initial proposal. Whatever the final result is it helps us <strong>think product-wise</strong> which improves both development speed and software quality."
Tech debt control,adopt,techniques,TRUE,"Technical debt can creep in in many ways (see Martin Fowler's <a href=""https://martinfowler.com/bliki/TechnicalDebtQuadrant.html"">quadrant</a>). Some of them are reasonable and when controlled, one can harness overall quality of a software project. Tools like <strong>SonarQube</strong> help substantially in such fine-grained control."
Algorithmic IT operations,trial,techniques,TRUE,"This technique stems from storing all possible events that come from live systems. Then operation departments can perform advanced queries and visualize data to answer questions they otherwise need to ask against living production systems. This is much safer and cheaper. "
Content Security Policies,trial,techniques,TRUE,"When introduced, <a href=""https://developer.mozilla.org/en-US/docs/Web/HTTP/CSP"">CSP</a> brought a simple and effective option to the security table. We have been assessing how it would impact our security handling of various kind of attacks and we apply this technique where it helps mitigate risks."
Continuous Deployment,trial,techniques,TRUE,"If a commit to the repository means also automatic delivery in approx. 1-2 mins to e.g. test environment, then all you need to do is formulate a commit message and push. If combined with instant notifications for interested people (e.g. team members) then time savings and noise reduction level is high. However one need to have sharp tools (e.g. <strong>GitLab Auto DevOps</strong> or <strong>Kubernetes</strong>) and reliable procedure to orchestrate automatic deployment to production. We have been progressing towards this direction."
Datensparsamkeit,trial,techniques,TRUE,"Knowing much about our users is in general beneficial, but knowing too much personal data adds risks and costs (especially when <strong>GDPR</strong> came into life). <a href=""https://martinfowler.com/bliki/Datensparsamkeit.html"">Datensparsamkeit</a> encourages us to store personal data only when we must. We often propose 3rd party Identity Management Systems we then trust with <strong>OAuth</strong>/<strong>OpenID</strong>/<strong>SAML</strong>."
Development cycle analytics,trial,techniques,TRUE,"Since early 2000's we have seen the advent of agile/lean/scrum/kanban/etc., each aiming at improving work organization and eventually making software development a predictable and efficient effort. But to draw right conclusions and get closer to the goal we all should make use of hard evidence. Measuring time a unit of work spent in each development stage we can control how we are in fact doing. And this is a good starting point."
Log aggregation & indexing,trial,techniques,TRUE,"Combining logs from various production systems may open new paths for enterprise analysis. Be it domain events, code exceptions/failures or security incidents, if put together, they may be utilized to gather intelligence data and have great impact on revenue or quality of engineering. Tools like <strong>Splunk</strong> help here a lot."
Microservices,trial,techniques,TRUE,"<a href=""https://martinfowler.com/articles/microservices.html"">Microservices</a> allure is hard to resist as it brings plenty of benefits. At the same time it requires tons of new kind of engineering wisdom and practice. The ecosystem of tools, platforms and patterns has been expanding rapidly. Many have jumped onto this bandwagon, many succeeded and many were defeated. Thus it is also extremely easy to fall into the envy trap and fail heavily. We approach this paradigm shift carefully, always trying to find the best fit."
APIs as a product,assess,techniques,TRUE,"Many times we are amazed at the quality of services of big vendors (like Google/Amazon/Microsoft/etc.): APIs/libraries/dashboards/etc. prepared with care, with tons of detailed reading materials. Sometimes it is worth to treat other teams as production-quality users of APIs/libraries/artifacts our team produces internally. This is some investment but we see in longer runs it pays off greatly (less bugs, APIs more tailored to the actual needs, high team motivation and proactive attitude)."
Build your own radar,assess,techniques,TRUE,"Pragmasoft follows <a href=""https://www.thoughtworks.com/insights/blog/build-your-own-technology-radar"">Build your own radar</a> recommendation of <a href=""https://www.thoughtworks.com/"">ThoughWorks (tm)</a>. We see a big value in it as it invites our developers to share what works for them and what not. Moreover, it aids us to compose a broader technology strategy and competence portfolio."
